Scenario_ID,DayofYear,Time(hr),O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi_a,Chi_o,Chi_h
26,148,18,0.558842924,725.9212708,8.505040885,57.92250724,0.584795559,0.999952509,0.739126586,4.237988014,3.407582165,2.37618524,2.97845378,121.8367928,2.70349673,228.391,0.5803,4.974980092,3.420196893,1.577496261,3.480371921,0.013301763,0.802893434,0.876733304,0.701713107
26,148,19,0.7920318,698.8077323,5.68969489,54.88701493,0.561637403,0.999953566,0.710684591,4.019900382,3.232224342,2.347672062,2.880240119,115.4479331,2.560309758,228.391,0.5803,4.663379566,3.20713759,1.582529139,3.491561741,0.013268304,0.811309661,0.878963585,0.716015231
26,148,20,1.214952723,673.1225712,3.234368212,51.98990978,0.540157052,0.999954243,0.68371817,3.813186027,3.065844061,2.334692868,2.7889017,109.3652602,2.42421374,228.391,0.5803,4.44308243,3.056685952,1.597210833,3.525264186,0.013344695,0.81949684,0.881625603,0.72944493
26,148,21,2.030626249,648.7930912,1.342644681,49.20321571,0.520626753,0.999954307,0.658133422,3.617169033,2.907763454,2.347534977,2.705429489,103.5492717,2.294463824,228.391,0.5803,4.180010118,2.877287423,1.619747993,3.581210239,0.013624545,0.827147555,0.883387874,0.742084189
26,148,22,3.504650922,625.7518435,0.289035121,46.48196245,0.503525442,0.999953367,0.633828985,3.43115294,2.75719264,2.402708274,2.631555034,97.94825932,2.170081868,228.391,0.5803,3.948266159,2.719839059,1.653699705,3.670407282,0.014242496,0.834942954,0.885327273,0.754645795
26,148,23,5.547076221,603.9337911,0.005341812,43.7968726,0.489310829,0.999966858,0.610708072,3.254483528,2.613399236,2.509355617,2.567547861,92.52716955,2.050151066,228.391,0.5803,3.680336921,2.537914686,1.663204923,3.716427607,0.015002786,0.843319811,0.887934604,0.767745239
26,148,24,7.617014112,583.2716796,0.000178986,41.19396884,0.481378218,1.000740013,0.588714962,3.08672708,2.476181786,2.647308646,2.514408549,87.30555568,1.934619337,228.391,0.5803,3.454404264,2.385028314,1.676151075,3.779084083,0.016127161,0.852430605,0.891494233,0.781635236
34,161,0,12.70814073,442.4490797,0.000247305,35.46824443,0.394555497,1.000443459,5.435721038,4.394182795,3.751702183,1.962297019,1.244068263,19.57436251,0.655358934,241.536,0.5503,0.0468663,0.505846951,0.703722743,1.322602187,0.026806437,0.745131556,0.869808109,0.63117981
34,161,1,14.40221406,430.237552,0.000229579,33.17048273,0.382088607,1.000597797,5.158067419,4.167875089,3.558056373,1.944317048,1.235121269,18.58730271,0.619438218,241.536,0.5503,0.042954031,0.463850677,0.674726229,1.272758408,0.024470625,0.759339923,0.873263286,0.648959657
34,161,2,16.00076468,418.6666843,0.000219182,30.97694938,0.369946787,1.000719852,4.895029221,3.953564265,3.374885861,1.921479191,1.225895798,17.66505394,0.585352851,241.536,0.5503,0.039352877,0.42521834,0.653352644,1.23591496,0.02291399,0.770753035,0.875104736,0.662468272
34,161,3,17.51271405,407.7028623,0.000212484,28.89020063,0.358125207,1.000807119,4.645857601,3.750614881,3.201625751,1.894328669,1.216443846,16.8035238,0.553037246,241.536,0.5503,0.035634628,0.385399616,0.659388323,1.248092217,0.021180409,0.787483259,0.876365007,0.679913912
34,161,4,18.94544088,397.3143449,0.000207386,26.9108899,0.346652139,1.000862963,4.409828591,3.558416506,3.037716179,1.863862618,1.206874707,15.99783712,0.522417453,241.536,0.5503,0.03367257,0.36427599,0.646822829,1.225585782,0.019559589,0.801892503,0.882427055,0.700302698
34,161,5,20.30521033,387.4710986,0.000202637,25.03831568,0.335566757,1.000893299,4.186248902,3.376387535,2.88261714,1.831208601,1.197314405,15.24300567,0.493416488,241.536,0.5503,0.030131381,0.326262377,0.647183218,1.224873275,0.017769241,0.818506658,0.88500545,0.71889013
34,161,6,21.59747951,378.1446634,0.000197559,23.27082255,0.324905522,1.000904421,3.974459202,3.203977137,2.735817633,1.797421611,1.187880116,14.53435215,0.465957864,241.536,0.5503,0.027991095,0.303241344,0.652445653,1.232581754,0.016200001,0.831265047,0.887893843,0.733188295
34,161,7,22.82709667,369.3080466,0.000191891,21.60607906,0.314695488,1.000901855,3.773835168,3.040665564,2.596839789,1.76338083,1.17866744,13.86772083,0.43996758,241.536,0.5503,0.025302218,0.274280488,0.646968014,1.220053224,0.014496227,0.844619109,0.890965937,0.748353109
