Scenario_ID,DayofYear,Time(hr),O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi
26,148,0.0,20.932912898667425,487.7547909134914,0.8767396621139087,29.266060768006056,0.3799764849874499,0.9999255220692204,0.4728732048807265,2.225692581601198,1.787045395725536,2.299782688034312,2.092358875400968,61.14881160720056,1.3380906197599165,228.391,0.5803,2.738240913318341,1.8862690443740373,1.4965055657236574,3.2526335390900507,0.0089366622802255,0.7605303509527168
26,148,1.0,15.965695512780714,510.82351006292726,1.0968694872590932,34.055308943828,0.4432746846023876,0.9999228727715064,0.4974606177027047,2.602076747363853,1.9701870082890425,2.4727185377807457,2.357032864304781,70.24022433664265,1.4618502846136754,228.391,0.5803,3.125304915561797,2.1541549736585712,1.569719650823908,3.476089263812026,0.0117055994671875,0.7482100472010272
26,148,2.0,8.856868594294793,561.5857374683109,1.893084830378807,41.57956713684608,0.5248470432042266,0.9999174334813856,0.5496803152132208,3.1707682235920944,2.3198985340643894,2.6958781671004832,2.6995757136205416,84.96768555692715,1.7217684226333618,228.391,0.5803,3.808978190983615,2.6254763207005656,1.685179784207431,3.796002819893167,0.014948169341211,0.72969988555054
26,148,3.0,3.328834659820336,612.2105129855556,4.052421662735237,49.17615349970379,0.5972651751398438,0.999916841017172,0.6018886410529007,3.716801614810049,2.666260955304917,2.807055286343548,3.005441460255452,99.4250472031583,1.984729012037092,228.391,0.5803,4.367789863011864,3.0096912656854227,1.7289886186854555,3.926921359541156,0.0168402828636497,0.7176452916183144
26,148,4.0,0.7960322643689406,659.59368398931,8.810837288064997,56.55981541860107,0.6665369783295308,0.9999189392599818,0.6507194614898606,4.24684258109026,2.996921522348591,2.831136287582803,3.2984479563757065,113.63413317268432,2.234671124636644,228.391,0.5803,4.974258483870774,3.4247814103462915,1.727705619793971,3.930832994057648,0.0173135162368491,0.7034576956140267
26,148,5.0,0.336247442160921,710.574393124538,15.937937117743516,64.3005762984002,0.7333769885407206,0.9999221249554128,0.7034056246491173,4.787473850078725,3.3496661842765723,2.823994642890804,3.582654078374633,128.1710542736556,2.505323185853181,228.391,0.5803,5.590401505404783,3.8455406374148393,1.7016449334822368,3.866534629656481,0.0170071051228956,0.6993382075956399
26,148,6.0,0.2171050903807314,794.5965213772226,23.11747657736512,71.75914307850253,0.8007265306330206,0.9999253263409792,0.7965628550634427,5.50475996916174,3.927677321093139,2.846668440436822,3.8809818166484193,149.24396505808556,2.9835365056882868,228.391,0.5803,6.15545308814368,4.231250700538612,1.6845169392531756,3.816759203302993,0.0165857246205567,0.6955374764696668
26,148,7.0,0.1480471773780684,909.9497741469196,32.241210039661496,81.11806053373107,0.8465924945275702,0.9999284023828432,0.9246885592407676,6.334862003141132,4.685765810728616,2.902318575204466,4.140183932758974,174.04938679011948,3.6362900619760494,228.391,0.5803,6.77075469768814,4.651562886371872,1.6793889133459678,3.793381649156936,0.0162987438170291,0.6945725979579438
26,148,8.0,0.1176070964159099,1011.1752220060908,39.089394853288965,88.1532053298861,0.86626298967159,0.9999313500765972,1.038381854537601,6.748706595430885,5.298939872231812,2.9500872871351964,4.179377073462858,191.71940109407183,4.21465516747244,228.391,0.5803,7.457687317439577,5.120239932972361,1.6068593455709193,3.621258709271941,0.0155183182816827,0.6963014843001817
26,148,9.0,0.1002834607089977,1048.7490018031249,44.517444447388165,93.74580153913708,0.8680604083162782,0.9999341831938654,1.0774440133811816,6.833165674052768,5.49232081116672,2.9387281357988035,4.174402466944126,197.41681064048905,4.402517205223726,228.391,0.5803,8.266544039099799,5.672853382503448,1.5738775299121028,3.538205806517027,0.0151276832097258,0.7052199887341077
26,148,10.0,0.1143573857475068,1004.659043979252,39.54244982221887,88.86254119358887,0.829142712592055,0.9999368852271516,1.0312443602628492,6.47873984725617,5.207597145706043,2.855725150880009,4.010380967240091,187.10860567716017,4.170517031249239,228.391,0.5803,7.815168391320311,5.364023936670278,1.5796578443676184,3.5392044227440125,0.0149304025783299,0.7210541592687242
26,148,11.0,0.1322218888355135,962.887022796015,34.83515115105346,84.23494762087454,0.7922976250811877,0.999939418916192,0.9874738669660744,6.1429544935438445,4.937864668792073,2.777648860925265,3.855032477057693,177.34091522842274,3.950739346740441,228.391,0.5803,7.447686535792271,5.112468724142918,1.5772110505529444,3.522970963454839,0.0146776795305664,0.7352899063790329
26,148,12.0,0.1541310094765928,923.3111236465888,30.381930052261,79.84936763022057,0.7574218934548194,0.9999417885894032,0.9460044508290972,5.824827486821485,4.682329417696845,2.7044325524822166,3.707926093028433,168.08493215717266,3.7425323581086034,228.391,0.5803,6.986390248548237,4.796862284686473,1.5831069784999696,3.5271078414215906,0.0144877646407803,0.7462416727369879
26,148,13.0,0.1815344892977503,885.8159475412247,26.171134441547817,75.69279467780164,0.7244194544113374,0.9999439972283518,0.906714700817399,5.523428068909961,4.4402384792885785,2.6360651912803363,3.568659833255218,159.313252421946,3.5452771935946688,228.391,0.5803,6.608495844817472,4.538292658289524,1.5904033998419822,3.534640269981092,0.0143141879255564,0.7558475496712599
